Département,EPCI/EPT (sigle),Nom complet,Code EPCI,Type,Population,Adresse,Version,Etat,"Mise-à-
jour",Dernier contact,Point d'avancement,Référent technique,Référent élu,AMO,Accompagnement syndicat d'énergie,"Accompagnement
Cytergie",CPER,Délai légal de réalisation,"Restitution du bilan QA
(DL 01/02/2021)",Adoption du PAR,Commentaire et planification,PHASE DE LANCEMENT,Délibération de lancement,PHASE DE CONCERTATION PREALABLE,"Notification
(réception)",Porté à connaissance,PHASE ELABORATION DU DIAGNOSTIC,PHASE DEFINITION DE LA STRATEGIE,PHASE CREATION DU PLAN D'ACTIONS,Projet de plan,"Avis Ae
(réception)","Avis État
ou MGP
(réception)","Avis Ae
(émission)","Avis État
(émission)",PHASE DE CONSULTATION DU PUBLIC,Adoption du plan,Publication territoire et climat,Lien plateforme nationale,Lien site internet collectivité,Projet de territoire,SCoT,PLUi,PLD,PLH,Schéma directeur des réseaux de chaleur,CTE,Autre
77,77-CCBRC,CC Brie-des-Rivières-et-Châteaux,200070779,CC,37420,"Communauté de commune
Brie des rivières et châteaux
1 rue des Petits Champs
77820 Le Châtelet-en-Brie",1,Consultation,14/09/21,19/08/19,,M. Romain ROBERT,non connu,non connu,non connu,non connu,"€113 733,00",01/01/2022,sans information,sans information,,20/05/2019 : séminaire CDTE,14/03/2018,non connu,11/03/19,s.o.,25/06/2019 : Présentation du diagnostic,,,,,,,,,,,,,,,,,,,,
77,77-CCDM,CC des-Deux-Morin,200072544,CC,26342,"Communauté de Communes des Deux -Morin
1 rue Robert Legraverend
77320 La Ferté-Gaucher",,Notifié,14/01/20,23/08/19,,"Mme Caroline SAUGET
01 64 03 07 77
c.sauget@cc2m.fr",non connu,non connu,non connu,non connu,"€79 233,00",01/01/2022,sans information,sans information,,"planifié
17/09/2019 : séminaire de lancement",16/11/2017,"planifié
23/08/2019 : Déclaration d'intention
2019-2020 : 
- séminaire de lancement élus, agents, partenanires
- 4 séances de travail avec les acteurs
- 2 réunions publics
- communication institutionnelle (plaquette, journaux communaux)
- plateforme participative",28/12/19,02/01/2020,"planifié
novembre 2019 : lancement de l'étude
février 2020 : présentation du diagnostic","planifié
juin 2020 : mobilisation des acteurs et du publics pour définir la stratégie
septembre 2020 : présentation de la stratégie","planifié
octobre 2020 : mobilisation des acteurs et du publics pour élaborer le plan d'actions","planifié
décembre 2020",,,,,planifié,"planifié
juillet 2021",,,,,,,,,,,
77,77-CCGVL,CC Gâtinais-Val-de-Loing,200023919,CC,19237,,,Non concerné,,,,non connu,non connu,non connu,non connu,non connu,,non concerné,non concerné,non concerné,non concerné,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77-CCMSL,CC Morêt-Seine-et-Loing,247700032,CC,38761,"Communauté de communes
Morêt-Seine-et-Loing
23, rue du Pavé Neuf
CS 80 214
77815 Morêt-Loing-et-Orvanne Cedex",,Adopté,25/04/22,20/09/19,,"M. Johann BARRAUD
Chargé d'étude
01 64 70 72 23
johann.barraud@ccmsl.com","M. Yves BRUMENT
(vice-président à l'urbanisme)
maire de Saint-Mammès",BL-évolution,SDESM,aucun,,01/01/2022,sans information,sans information,,"29/01/2019 : séminaire de lancement
- 4 ateliers numériques
- 4 ateliers physiques (2019/novembre-décembre)",05/11/2018,"planifié
- plateforme participative
29/06/2019 : réunion grand public et mobilisation des acteurs ""fête de l'eau"" à Saint Mammès
13/09/2019 : réunion publique d'information",04/01/19,s.o.,"2019/avril-juin
15/05/2019 : présentation diagnostic
- une réunion public de présentation du diagnostic","planifié 2019/septembre-novembre
10/09/2019 : atelier élus sur les enjeux et priorités du PCAET
01/10/2019 : COPIL, validation des orientations stratégiques","planifié 2019/décembre-2020/février
2019/septembre-décembre
2020 : réunion public de présentation","planifié
2020/février",,,,,,,,,,,"planifié
avec CC2F",pas envisagé,pas envisagé,"planifié
en gestation",,,
77/91,77-CCOB,CC Orée-Brie,247700644,CC,25965,"Communauté de communes de
l’Orée-de-la-Brie
1 place de la Gare
77170 BRIE-COMTE-ROBERT",,Notifié,11/12/19,19/08/19,,"Mme Carine BORDUY
carine.borduy@loreedelabrie.fr","M. Jack DEBRAY
Vice-président en charge de l’environnement",non connu,"SDESM
",non connu,"€93 755,00",01/01/2022,sans information,sans information,,22/01/2020 : séminaire élu,26/06/2019,"planifié
",19/08/19,2019,"planifié
","planifié
","planifié
","planifié
",,,,,,,,,,,,,,,,,
77,77-CCP,CC Provinois,200037133,CC,34483,"Communauté de communes du Provinois
7, Cours des Bénédictins
77160 Provins",,Notifié,08/12/20,,,non connu,non connu,non connu,non connu,non connu,demande en cours,01/01/2022,sans information,sans information,,18/04/2019 : séminaire,,,via préfet département,,,,,,,,,,,,,,,,"planifié
avec CCBM",,,,,,
77,77-CCPB,CC Portes-Briardes-entre-Ville-et-Forêts,200023125,CC,45343,"Communauté de communes
Les Portes-Briardes
43, avenue du Général De Gaulle
77330 Ozoir-la-Ferrière",,Notifié,15/10/19,14/10/19,,"Mme Sylviane POUX
01 54 43 35 60
spoux@lesportesbriardes.fr",non connu,non connu,"SDESM
",non connu,"100000€
demandé",01/01/2021,sans information,sans information,,23/05/2019 : Séminaire CDTE,25/06/2019,"planifié
03/07/2019 : déclaration d'intention
- 2 ateliers thématiques de co-construction
- mise en place d'une plateforme participative",12/07/19,9/9/19,,,,,,,,,,,,,,,,,,,,,
77,77-CCPM,"CC Pays-de-Montereau
(ex CC Deux-Fleuves)",247700107,CC,39869,"Communauté de Communes du Pays de Montereau
29, Avenue du Général de Gaulle
77130 MONTEREAU  FAULT YONNE Cedex",,Adopté,06/01/21,14/10/19,,"Mme Élisabeth DUBUJET
01 60 73 43 86
elisabeth.dubujet@paysdemontereau.fr",M. Pascal DALICIEUX,ALGOE/GB,aucun,aucun,"€147 902,00",01/01/2022,sans information,sans information,,"22&25/06/2018 : cadrage
06/07/2018 : séminaire CDTE",12/02/2018,"19/09/2018 : déclaration d’intention
27/05/2019 : atelier 'développement économique local'",06/07/18,s.o.,"15/11/18 : COTECH
22/11/18 : COPIL","26/03/2019 : COTECH
14/05/2019 : COPIL","27/05/2019 : Atelier dev. économique
24/09/2019 : COTECH
2019/10 : COPIL",16/12/2019 : conseil communautaire,demandé,18/12/19,élaboration en cours,11/2/20,,,,,http://www.paysdemontereau.fr/,Projet de territoire 2017-2023 (octobre 2017),"planifié
avec CCMSL",pas envisagé,http://www.paysdemontereau.fr/habitat-deplacement/plan-local-de-deplacement/,PLH 2017-2023 (08/10/2018),pas envisagé,,
77,77-CCPMF,CC Plaines-et-Monts-de-France,200033090,CC,23572,"Communauté de Communes Plaines et Monts de France
6, rue du Général de Gaulle
77230 Dammartin-en-Goële",1.0,Adopté,16/12/20,16/12/20,,"Mme Marine De SOUSA
01 60 54 65 59
marine.de-sousa@cc-pmf.fr
Mme Camille DEHU
camille.dehu@cc-pmf.fr

Mme Marion SALMON
Chargée de missions aménagement du territoire
01 60 54 65 57
marion.salmon@cc-pmf.fr",non connu,en interne,aucun,2018,"€75 000,00",01/01/2022,sans information,sans information,,réalisé,26/01/2015,01/08/2018 : déclaration d’intention,29/06/17,27/10//17,réalisé,réalisé,réalisé,04/09/19,4/9/19,04/09/19,28/11/19,30/10/19,"réalisé
délibération du 27/12/2019",02/03/20,20/03/20,,,,,,,,,,"Lauréat AMI ""Santé, Environnement, Aménagement"" (2019)"
77,77-CCPN,CC Pays-de-Nemours,200023240,CC,29886,"Communauté de Communes du Pays de Nemours
41 quai Victor Hugo
77140 Nemours",,Consultation,27/03/20,13/01/20,,"Mme Chloé BARBET
Pôle environnement
01 64 78 69 05 / 07 84 06 32 12
chloe.barbet@paysdenemours.fr",non connu,ALGOE/GB,non connu,non connu,"€108 029,00",01/01/2022,sans information,sans information,,"15/03/2018 signature convention CAPF, CCPM, CCPN
15/05/2019 atelier PCAET/CDTE-77",15/03/2018,19/09/2018 : déclaration d’intention,de facto,s.o.,réalisé,réalisé,réalisé,10/1/20,13/01/20,13/01/20,élaboration en cours,27/3/20,,,,,,,,,,planifié,,,
77,77-CCPO,CC Pays-de-l'Ourcq,247700065,CC,17837,non connu,,Non concerné,,,,non connu,non connu,non connu,non connu,non connu,,non concerné,non concerné,non concerné,non concerné,,,,,,,,,,,,,,,,,,,,"planifié
avec CCPFe",,,,,,
77,77-CCVB,CC Val-Briard,200072874,CC,34512,non connu,,Notifié,08/12/20,,,non connu,non connu,non connu,non connu,non connu,"€104 490,00",01/01/2022,sans information,sans information,,2019/06 : séminaire CDTE,,,via préfet 77,,,,,,,,,,,,,,,,,,,,,,
78,78-CART,CA Rambouillet-Territoires,200073344,CA,78000,"Communauté d’agglomération Rambouillet-Territoires
1 rue de Cutesson
BP 40036
78511 Rambouillet Cedex",,Adopté,05/04/22,11/12/18,,"M. Jean MOLA
01 34 57 58 36
j.mola@rt78.fr",M. Marc ROBERT (président),Climat Mundi,non connu,non connu,,01/01/2022,sans information,sans information,,réalisé,04/07/2017,01/03/2019 : publication déclaration d'intention,19/07/17,27/10/17,"Octobre 2018
COPIL 2/10/18
COPIL 12/12/18",pas de phase de définition de la stratégie,"planifié
en cours","planifié
2019/T4",,,,,,,,,,,"oui
à rechercher",,,,,,
78,78-CASGBS,CA Saint-Germain-Boucle-de-la-Seine,200058519,CA,340000,"Communauté d’agglomération Saint Germain Boucles de Seine
Parc des Érables – Bâtiment 4
66 route de Sartrouville
78230 Le Pecq",,Notifié,15/07/19,20/03/20,,"M. Alexandre LAVIGOGNE
01 30 09 75 36
Lavigogne.alexandre@casgbs.fr
Mme Anne-Noëlle PETIT
01 30 08 75 24/07 85 06 55 71
petit.anne-noelle@casgbs.fr",M. Pierre FOND (président),ALTEREA,SIPPEREC,non connu,,01/01/2021,sans information,sans information,,25/09/18 : sensibilisation des élus,29/09/2018,"planifié
27/09/2018 : déclaration d'intention
2019/T2 : 
- ateliers thématiques
- publications par voie de presse",30/01/19,s.o.,"planifié
en cours","planifié
","planifié
","planifié
2020/T1",,,,,,,,,http://www.saintgermainbouclesdeseine.fr/environnement/plan-climat-air-energie-territorial-pcaet/,"07/12/2017
cf. http://www.saintgermainbouclesdeseine.fr/projets-et-realisations/le-projet-de-territoire/",pas envisagé,pas envisagé,"planifié
schéma stratégique cyclable","planifié
en cours d'élaboration",pas envisagé,,
78,78-CASQY,CA Saint-Quentin-en-Yvelines,200058782,CA,230000,"Communauté d'agglomération de Saint-Quentin-en-Yvelines
1, rue Eugène-Hénaff - BP 10118
78192 Trappes cedex",,Adopté,04/06/21,29/06/20,Adoption du PCAET fixé à décembre 2020,"Mme Véronique PORTEMONT
01 39 44 79 87
veronique.portemont@sqy.fr",M. Jean-Michel FOURGOUS (président),non connu,non connu,2017,,01/01/2021,sans information,sans information,,réalisé,n.c.,01/03/2019 : publication déclaration d'intention,06/04/17,27/10/17,réalisé,réalisé,réalisé,1/3/19,1/4/19,01/03/19,1/7/19,23/4/19,"planifié
septembre 2020","planifié
décembre 2020",,,,,,,,,,,
78/91,78-CAVGP,CA Versailles-Grand-Parc,247800584,CA,268000,"Communauté d’agglomération de Versailles-Grand-Parc
Centre Administratif 
56 avenue de Saint Cloud
78000 Versailles",,Notifié,28/02/22,16/01/20,Rédaction du cahier des charges pour sélectionner un bureau d'étude,"M. Pierrick DEGARDIN
01 30 97 84 72
pierrick.degardin@versailles.fr 
Meline BARONIAN
meline.baronian@versailles.fr",François DE MAZIÈRES (président),non connu,non connu,oui,,01/01/2021,sans information,sans information,,"planifié
Rédaction cahier des charges en cours (16/1/20)",n.c.,17/05/2019 : publication déclaration d'intention,,,"planifié
en cours",,,,,,,,,,,,,,,,,,,,
78,78-CCCY,CC Coeur d'Yvelines,247800618,CC,50000,"Communauté de Communes Coeur-d’Yvelines
1 Place aux Herbes
78640 Neauphle-le-Château",,Notifié,02/03/22,,,"Mme Isabelle ANTOINE
01 34 89 63 52
i.antoine@cccy.fr",M. Olivier GUITTARD,non connu,non connu,non connu,,01/01/2021,sans information,sans information,,La CCCY a fait savoir qu'elle ne souhaite pas élaborer un PCAET,,,,,,,,,,,,,,,,,,,,,,,,,
78,78-CCGM,CC Gally-Mauldre,200034130,CC,23000,"Communauté de Communes de Gally-Mauldre
Place de la mairie
78580 Maule",,Notifié,22/07/19,19/07/19,,"M. Matthieu BOURG (à partir du 2/10/19)
01 30 55 55 40
Mme BOURDON (intérim)
direction-urba@cc-gallymauldre.fr",M. Laurent RICHARD (président),non connu,non connu,non connu,,01/01/2022,sans information,sans information,,"planifié
Recrutement d'un BE en cours",,planifié,,,"planifié
",,,,,,,,,,,,,,"oui
à rechercher",,,,,,
78,78-CCHVC,CC Haute-Vallée-de-Chevreuse,200033173,CC,26000,,,Notifié,18/06/21,,,"M. Peter VAN BUSSEL
pvanbussel@cchvc.fr",M. Olivier BEDOUELLE,non connu,non connu,non connu,,01/01/2021,sans information,sans information,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78-CCPH,CC Pays-Houdannais,247800550,CC,29000,"Communauté de Communes du Pays-Houdanais
22, Porte d’Epernon
78550 Maulette",,Notifié,28/02/22,,,"Mme Christiane CAYROL
01 30 46 82 80
M. Jean-Claude ASTIER
directeur.general@cc-payshoudanais.fr",M. Jean-Jacques MANSAT (président),non connu,non connu,non connu,,01/01/2022,sans information,sans information,,18/06/2018 : rencontre des maires,,,,,,,,,,,,,,,,,,,,,,,,,
78,78-CCPIDF,CC Portes-d’Île-de-France,200071074,CC,22161,"Communauté de communes des Portes-de-l'Île-de-France
ZA le Clos Prieur
Rue Solange Boutel
78 840 Freneuse",,Notifié,05/03/21,10/12/20,La notification du lancement est prévue (11/12),"Mme DUCLOUX
me.ducloux@ccpif.fr",M. Alain PEZZALI (président),en interne,non connu,non connu,,01/01/2022,sans information,sans information,,planifié,,,,,,,,,,,,,,,,,,,,,,,,,
78,78-CUGPSO,CU Grand-Paris-Seine et Oise,200059889,CU,405000,"Communauté Urbaine Grand-Paris Seine&Oise
Immeuble Autoneum
Rue des Chevries
78410 Aubergenville",,Adopté,12/12/20,14/05/20,"L'avis de l'État est en cours d'élaboration.
Avis de la MRAe rendu le 18 mai","M. Florent CLAVIER
06 75 88 69 68
florent.clavier@gpseo.fr
Jeanne-Flore BLOMME-LEVENEUR
Chargée de mission Animation de la  Transition Energétique
06 03 16 62 16
jeanne-flore.blomme-leveneur@gpseo.fr",non connu,non connu,non connu,2017,,01/01/2021,sans information,sans information,,réalisé,01/04/2016,réalisé,01/04/16,s.o.,réalisé,réalisé,réalisé,12/12/2019,03/02/20,14/05/20,18/5/20,31/7/20,"planifié
mai-juin 2020","planifié
septembre 2020",,,,,,,,,,,
91,91-CACEA,CA Coeur d'Essonne Agglomération (ex. CCA+CAVO),200057859,CA,191000,"Cœur d’Essonne Agglomération
La Maréchaussée
1, place Saint-Exupéry
91704 Sainte-Geneviève-des-Bois Cedex",,Sans information,06/01/21,25/06/20,,"
M. Christophe BRÉRAT
Directeur général adjoint
C.BRERAT@coeuressonne.fr ",non connu,non connu,non connu,2017,,01/01/2021,sans information,sans information,,12/09/2019 : Lancement d'un schéma des EnR,,,,,,,,,,,,,,,,,,,,,,,,,"Bénéficiaire de TIGA pour le projet SESAME - 387 000€ pour le dossier ""Cœur d’Essonne, territoire pionnier de la transition agricole et alimentaire en région Ile-de-France""

Lauréat de l'AMI ADEME « PLANIF 2 °C »"
91,91-CAESE,CA Etampois-Sud-Essonne,200017846,CA,52000,"Communauté d'agglomération Étampois-Sud-Essonne
Place de l'Hotel de Ville et des droits de l'homme
91 150 Étampes",,Notifié,19/08/19,26/07/19,,"Mme Noémie LOUIS
01 69 92 67 43
noemie.louis@caese.fr
M. Philippe LE BELLEC
Chargé de mission
01 64 59 24 43
philippe.lebellec@caese.fr","M. Yves VILLATE
Vice-président en charge du développement durable et de l'environnement",en interne,non,non,,01/01/2022,sans information,sans information,,15/11/18 : séminaire élus,03/07/2019,"planifié
03/07/2019 : déclaration intention",de facto,,réalisé,planifié,"planifié
actions en cours sur la base du précédant PCET/PCAET","planifié
2020-2021",,,,,,,,,,pas envisagé,pas envisagé,pas envisagé,pas envisagé,"planifié
en cours d'élaboration",pas envisagé,,
91/77,91-CAGPS,CA Grand Paris Sud Seine-Essonne-Sénart,200059228,CA,351608,"Communauté d'agglomération
Grand-Paris-Sud-Seine-Essonne-Sénart
500, place des Champs Elysées, 91000 Évry-Courcouronnes",,Adopté,04/02/20,04/02/20,,"Mme Bérengère MAINFROID
01 69 91 59 13
b.mainfroid@grandparissud.fr",non connu,non connu,non connu,2017,,01/01/2021,sans information,sans information,,réalisé,25/07/17,"10/10/2018 - 15-01/2019 : période de concertation
14&21/11/2018 : ateliers de concertation",28/07/2017,43035,réalisé,"réalisé
11/04/19 GT EnR","réalisé
06/06/2019 : COPIL",43641,"28/06/2019
(courriel)",01/07/19,réalisé,20/08/19,réalisé,17/12/19,,https://www.territoires-climat.ademe.fr/private/demarche/1067-plan-climat-air-energie-territorial/ma-demarche,,"05/02/2019
lancement CTE","planifié
en cours d'élaborationn",,"planifié
en cours d'élaboration
12 & 17/06/2019 : ateliers",,,"05/02/2019 : lancement CTE
09/07/2019 : approuvé","Lauréat AMI ""Santé, Environnement, Aménagement"" (2019) en lien avec le SCoT"
91,91-CAPS,CA Paris-Saclay,200056232,CA,302000,"Communauté d’agglomération Paris-Saclay
1, rue Jean-Rostand
91898 Orsay Cedex",,Adopté,26/10/20,14/09/20,28/5 : Départ de Claire LESTRAT,"M. Richard LE COMPAGNON
01 69 35 66 89
richard.lecompagnon@paris-saclay.com 
M. Anthony HUA
Chef de projet transition-énergétique
anthony.hua@paris-saclay.com
Mme Eva PINEAU
Chargée de mission PCAET
Eva.PINEAU@paris-saclay.com","Mme Sandrine GELOT
Vice-présidente en charge de la transition énergétique",non connu,non connu,2017,,01/01/2021,sans information,sans information,,novembre 2017 : séminaire de lancement,20/12/2017,s.o.,22/01/18,18/05/18,réalisé,réalisé,réalisé,21/12/18,,21/12/18,,22/02/19,"réalisé 
209/03",26/6/19,,https://www.territoires-climat.ademe.fr/private/demarche/974-plan-climat-de-paris-saclay/ma-demarche,,http://www.paris-saclay.com/l-agglo/projet-de-territoire-257.html,,,,,,,
91,91-CAVYVS,CA Val-d’Yerres-Val-de-Seine,200058477,CA,178000,"Communauté d’agglomération Val d’Yerres – Val de Seine
78 RN 6 - BP 103
91805 BRUNOY CEDEX",,Consultation,28/02/22,13/03/20,,"Mme Séverine VALENTINI
Directrice du Développement Durable
01 69 73 73 12
svalentini@vyvs.fr",non connu,ALTEREA,non connu,non connu,,01/01/2021,sans information,sans information,,,27/06/2019,22/07/2019 : Délibération déclaration intention,,,,,,,,,,,,,,,https://www.vyvs.fr/actualite/lancement-du-plan-climat-air-energie-territorial-pcaet.html,adopté le 09/04/2018,,,,,,,
